parameter	description	example
ENTRYGATE	A subfolder on the Entrygate server that serves as a root for the processing during this import job/action.	"ENTRYGATE=""STD - Annual National Accounts"""
WORK_FOLDER	A subfolder on the Entrygate server that contains the import job/action xml files.	"WORK_FOLDER =""STD - Annual National Accounts\WORK"""
CSV_FOLDER	A subfolder on the Entrygate server that contains the import job/action data files.	"CSV_FOLDER =""STD - Annual National Accounts\CSVFILES"""
XML_FILENAME	The name of the xml file that is generated from the input after running CreateDotStatXml.	"XML_FILENAME=""SNA_TABLE1_UPDATE_OWNER_DIM2.xml"""
DOMAIN	The Windows domain that contains users.	"DOMAIN=""OECDMAIN"""
CONTACTS	"The users need to be contacted. A list of domain users, separated by ,."	"CONTACTS=""Whoever_J,Otherperson_B"""
OWNERS	"Thw owners of the dataset. A list of domain users, separated by ,."	"OWNERS=""Whoever_J,Someoneelse_L"""
NOTIFICATIONS	"A list that specifies which user on the contatc list in what case should be notified. The email will be sent when the minimum severity setting is met – eg: if it’s set to warning, the email will be sent not only in case of warning, but in case of failure, too. Possible values: ·         NO, N: no notification is needed·         WARNING, W: on warning·         FAILURE, F: on failure·         SUCCESS, S: on success·         No setting (empty): in any case. Default value (no setting): in any case."	"NOTIFICATIONS=""F,N"""
SECURITY	"A list that specifies who has privileges to use the dataset. Possible values: ·         ALL, PUBLIC: dataset is public ·         Domain Users, OECDMAIN, OECD/OLIS: dataset is available for the domain users ·         <domain username>: dataset is available for the specified user"	"SECURITY=""Domain Users"""
LANGUAGES	The list of language ISO codes used by the dataset. The languages are separated by #.	"LANGUAGES=""en#fr"""
ALLOW10PERCENT	Specifies if core data view is allowed or not. Possible values: TRUE and FALSE.	"ALLOW10PERCENT=""TRUE"""
ALLOW10PERCENTSPECIFIED	Specifies if ALLOW10PERCENT contains valid value or not. Possible values: TRUE and FALSE.	"ALLOW10PERCENTSPECIFIED=""TRUE"""
ACTION	The type of action Entrygate must do. Possible values:·         CREATE·         UPDATE·         DELETE·         REMOVEDATASET	"ACTION=""UPDATE"""
DS_CODE	The code of the dataset to work with.	"DS_CODE=""SNA_TABLE1"""
THEME	The theme that contains the dataset.	"THEME=""Others|Test datasets"""
DIR	Directorate	"DIR=""STD"""
DS_NAMES	"Dataset names in the specified languages, separated by #. The order of the dataset names in the different languages must be the same as the order of the languages in setting LANGUAGES. "	"DS_NAMES=""Gross domestic product#Produit intérieur brut"""
DS_NAME_E	Dataset name in English. OBSOLETE! DS_NAMES should be used instead.	"DS_NAME_E=""Gross domestic product"""
DS_NAME_F	Dataset name in French. OBSOLETE! DS_NAMES should be used instead.	"DS_NAME_F=""Produit intérieur brut"""
REPORTING_PERIOD	NA	NA
UNIT_CASE	NA	NA
UNIT_DIMENSION	NA	NA
TOPMETA_CSV	The data file that contains metadata about the dataset. The metadata is organised into csv file.	"TOPMETA_CSV=""SNA_Metadata.txt"""
TOPMETA_CSVXML	"The data file that contains metadata about the dataset. The file is in csv format, but the metadata inside is in xml format."	"TOPMETA_CSVXML=""SNA_Metadata_XML.txt"""
TOPMETA_METASTORE	The data file that contains metadata about the dataset. The format comes from metastore.	"TOPMETA_METASTORE=""SNA_Metadata_Metastore.txt"""
