"","countryISO","currency","cur","curcode","unitISO","fundISO"
"1","AFGHANISTAN","Afghani","AFN","971","2",NA
"2","ÅLAND ISLANDS","Euro","EUR","978","2",NA
"3","ALBANIA","Lek","ALL","008","2",NA
"4","ALGERIA","Algerian Dinar","DZD","012","2",NA
"5","AMERICAN SAMOA","US Dollar","USD","840","2",NA
"6","ANDORRA","Euro","EUR","978","2",NA
"7","ANGOLA","Kwanza","AOA","973","2",NA
"8","ANGUILLA","East Caribbean Dollar","XCD","951","2",NA
"9","ANTARCTICA","No universal currency",NA,NA,NA,NA
"10","ANTIGUA AND BARBUDA","East Caribbean Dollar","XCD","951","2",NA
"11","ARGENTINA","Argentine Peso","ARS","032","2",NA
"12","ARMENIA","Armenian Dram","AMD","051","2",NA
"13","ARUBA","Aruban Florin","AWG","533","2",NA
"14","AUSTRALIA","Australian Dollar","AUD","036","2",NA
"15","AUSTRIA","Euro","EUR","978","2",NA
"16","AZERBAIJAN","Azerbaijanian Manat","AZN","944","2",NA
"17","BAHAMAS","Bahamian Dollar","BSD","044","2",NA
"18","BAHRAIN","Bahraini Dinar","BHD","048","3",NA
"19","BANGLADESH","Taka","BDT","050","2",NA
"20","BARBADOS","Barbados Dollar","BBD","052","2",NA
"21","BELARUS","Belarussian Ruble","BYR","974","0",NA
"22","BELGIUM","Euro","EUR","978","2",NA
"23","BELIZE","Belize Dollar","BZD","084","2",NA
"24","BENIN","CFA Franc BCEAO","XOF","952","0",NA
"25","BERMUDA","Bermudian Dollar","BMD","060","2",NA
"26","BHUTAN","Ngultrum","BTN","064","2",NA
"27","BHUTAN","Indian Rupee","INR","356","2",NA
"28","BOLIVIA, PLURINATIONAL STATE OF","Boliviano","BOB","068","2",NA
"29","BOLIVIA, PLURINATIONAL STATE OF","Mvdol","BOV","984","2",TRUE
"30","BONAIRE, SINT EUSTATIUS AND SABA","US Dollar","USD","840","2",NA
"31","BOSNIA AND HERZEGOVINA","Convertible Mark","BAM","977","2",NA
"32","BOTSWANA","Pula","BWP","072","2",NA
"33","BOUVET ISLAND","Norwegian Krone","NOK","578","2",NA
"34","BRAZIL","Brazilian Real","BRL","986","2",NA
"35","BRITISH INDIAN OCEAN TERRITORY","US Dollar","USD","840","2",NA
"36","BRUNEI DARUSSALAM","Brunei Dollar","BND","096","2",NA
"37","BULGARIA","Bulgarian Lev","BGN","975","2",NA
"38","BURKINA FASO","CFA Franc BCEAO","XOF","952","0",NA
"39","BURUNDI","Burundi Franc","BIF","108","0",NA
"40","CAMBODIA","Riel","KHR","116","2",NA
"41","CAMEROON","CFA Franc BEAC","XAF","950","0",NA
"42","CANADA","Canadian Dollar","CAD","124","2",NA
"43","CABO VERDE","Cabo Verde Escudo","CVE","132","2",NA
"44","CAYMAN ISLANDS","Cayman Islands Dollar","KYD","136","2",NA
"45","CENTRAL AFRICAN REPUBLIC","CFA Franc BEAC","XAF","950","0",NA
"46","CHAD","CFA Franc BEAC","XAF","950","0",NA
"47","CHILE","Unidad de Fomento","CLF","990","4",TRUE
"48","CHILE","Chilean Peso","CLP","152","0",NA
"49","CHINA","Yuan Renminbi","CNY","156","2",NA
"50","CHRISTMAS ISLAND","Australian Dollar","AUD","036","2",NA
"51","COCOS (KEELING) ISLANDS","Australian Dollar","AUD","036","2",NA
"52","COLOMBIA","Colombian Peso","COP","170","2",NA
"53","COLOMBIA","Unidad de Valor Real","COU","970","2",TRUE
"54","COMOROS","Comoro Franc","KMF","174","0",NA
"55","CONGO","CFA Franc BEAC","XAF","950","0",NA
"56","CONGO, DEMOCRATIC REPUBLIC OF THE ","Congolese Franc","CDF","976","2",NA
"57","COOK ISLANDS","New Zealand Dollar","NZD","554","2",NA
"58","COSTA RICA","Costa Rican Colon","CRC","188","2",NA
"59","CÔTE D'IVOIRE","CFA Franc BCEAO","XOF","952","0",NA
"60","CROATIA","Croatian Kuna","HRK","191","2",NA
"61","CUBA","Peso Convertible","CUC","931","2",NA
"62","CUBA","Cuban Peso","CUP","192","2",NA
"63","CURAÇAO","Netherlands Antillean Guilder","ANG","532","2",NA
"64","CYPRUS","Euro","EUR","978","2",NA
"65","CZECH REPUBLIC","Czech Koruna","CZK","203","2",NA
"66","DENMARK","Danish Krone","DKK","208","2",NA
"67","DJIBOUTI","Djibouti Franc","DJF","262","0",NA
"68","DOMINICA","East Caribbean Dollar","XCD","951","2",NA
"69","DOMINICAN REPUBLIC","Dominican Peso","DOP","214","2",NA
"70","ECUADOR","US Dollar","USD","840","2",NA
"71","EGYPT","Egyptian Pound","EGP","818","2",NA
"72","EL SALVADOR","El Salvador Colon","SVC","222","2",NA
"73","EL SALVADOR","US Dollar","USD","840","2",NA
"74","EQUATORIAL GUINEA","CFA Franc BEAC","XAF","950","0",NA
"75","ERITREA","Nakfa","ERN","232","2",NA
"76","ESTONIA","Euro","EUR","978","2",NA
"77","ETHIOPIA","Ethiopian Birr","ETB","230","2",NA
"78","EUROPEAN UNION","Euro","EUR","978","2",NA
"79","FALKLAND ISLANDS (MALVINAS)","Falkland Islands Pound","FKP","238","2",NA
"80","FAROE ISLANDS","Danish Krone","DKK","208","2",NA
"81","FIJI","Fiji Dollar","FJD","242","2",NA
"82","FINLAND","Euro","EUR","978","2",NA
"83","FRANCE","Euro","EUR","978","2",NA
"84","FRENCH GUIANA","Euro","EUR","978","2",NA
"85","FRENCH POLYNESIA","CFP Franc","XPF","953","0",NA
"86","FRENCH SOUTHERN TERRITORIES","Euro","EUR","978","2",NA
"87","GABON","CFA Franc BEAC","XAF","950","0",NA
"88","GAMBIA","Dalasi","GMD","270","2",NA
"89","GEORGIA","Lari","GEL","981","2",NA
"90","GERMANY","Euro","EUR","978","2",NA
"91","GHANA","Ghana Cedi","GHS","936","2",NA
"92","GIBRALTAR","Gibraltar Pound","GIP","292","2",NA
"93","GREECE","Euro","EUR","978","2",NA
"94","GREENLAND","Danish Krone","DKK","208","2",NA
"95","GRENADA","East Caribbean Dollar","XCD","951","2",NA
"96","GUADELOUPE","Euro","EUR","978","2",NA
"97","GUAM","US Dollar","USD","840","2",NA
"98","GUATEMALA","Quetzal","GTQ","320","2",NA
"99","GUERNSEY","Pound Sterling","GBP","826","2",NA
"100","GUINEA","Guinea Franc","GNF","324","0",NA
"101","GUINEA-BISSAU","CFA Franc BCEAO","XOF","952","0",NA
"102","GUYANA","Guyana Dollar","GYD","328","2",NA
"103","HAITI","Gourde","HTG","332","2",NA
"104","HAITI","US Dollar","USD","840","2",NA
"105","HEARD ISLAND AND McDONALD ISLANDS","Australian Dollar","AUD","036","2",NA
"106","HOLY SEE (VATICAN CITY STATE)","Euro","EUR","978","2",NA
"107","HONDURAS","Lempira","HNL","340","2",NA
"108","HONG KONG","Hong Kong Dollar","HKD","344","2",NA
"109","HUNGARY","Forint","HUF","348","2",NA
"110","ICELAND","Iceland Krona","ISK","352","0",NA
"111","INDIA","Indian Rupee","INR","356","2",NA
"112","INDONESIA","Rupiah","IDR","360","2",NA
"113","INTERNATIONAL MONETARY FUND (IMF) ","SDR (Special Drawing Right)","XDR","960","N.A.",NA
"114","IRAN, ISLAMIC REPUBLIC OF","Iranian Rial","IRR","364","2",NA
"115","IRAQ","Iraqi Dinar","IQD","368","3",NA
"116","IRELAND","Euro","EUR","978","2",NA
"117","ISLE OF MAN","Pound Sterling","GBP","826","2",NA
