"cou","countryUNen","countryUNfr","codeUN"
"ABW","Aruba","Aruba","533"
"AFG","Afghanistan","Afghanistan","004"
"AGO","Angola","Angola","024"
"AIA","Anguilla","Anguilla","660"
"ALA","Åland Islands","Îles d' Åland","248"
"ALB","Albania","Albanie","008"
"AND","Andorra","Andorre","020"
"ARE","United Arab Emirates","Émirats arabes unis","784"
"ARG","Argentina","Argentine","032"
"ARM","Armenia","Arménie","051"
"ASM","American Samoa","Samoas américaines","016"
"ATG","Antigua and Barbuda","Antigua-et-Barbuda","028"
"AUS","Australia","Australie","036"
"AUT","Austria","Autriche","040"
"AZE","Azerbaijan","Azerbaïdjan","031"
"BDI","Burundi","Burundi","108"
"BEL","Belgium","Belgique","056"
"BEN","Benin","Bénin","204"
"BES","Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba","535"
"BFA","Burkina Faso","Burkina Faso","854"
"BGD","Bangladesh","Bangladesh","050"
"BGR","Bulgaria","Bulgarie","100"
"BHR","Bahrain","Bahreïn","048"
"BHS","Bahamas","Bahamas","044"
"BIH","Bosnia and Herzegovina","Bosnie-Herzégovine","070"
"BLM","Saint Barthélemy","Saint-Barthélemy","652"
"BLR","Belarus","Bélarus","112"
"BLZ","Belize","Belize","084"
"BMU","Bermuda","Bermudes","060"
"BOL","Bolivia (Plurinational State of)","Bolivie (État plurinational de)","068"
"BRA","Brazil","Brésil","076"
"BRB","Barbados","Barbade","052"
"BRN","Brunei Darussalam","Brunéi Darussalam","096"
"BTN","Bhutan","Bhoutan","064"
"BWA","Botswana","Botswana","072"
"CAF","Central African Republic","République centrafricaine","140"
"CAN","Canada","Canada","124"
"CHE","Switzerland","Suisse","756"
"CHL","Chile","Chili","152"
"CHN","China","Chine","156"
"CIV","Côte d'Ivoire","Côte d'Ivoire","384"
"CMR","Cameroon","Cameroun","120"
"COD","Democratic Republic of the Congo","République démocratique du Congo","180"
"COG","Congo","Congo","178"
"COK","Cook Islands","Îles Cook","184"
"COL","Colombia","Colombie","170"
"COM","Comoros","Comores","174"
"CPV","Cabo Verde","Cabo Verde","132"
"CRI","Costa Rica","Costa Rica","188"
"CUB","Cuba","Cuba","192"
"CUW","Curaçao","Curaçao","531"
"CYM","Cayman Islands","Îles Caïmanes","136"
"CYP","Cyprus","Chypre","196"
"CZE","Czech Republic","République tchèque","203"
"DEU","Germany","Allemagne","276"
"DJI","Djibouti","Djibouti","262"
"DMA","Dominica","Dominique","212"
"DNK","Denmark","Danemark","208"
"DOM","Dominican Republic","République dominicaine","214"
"DZA","Algeria","Algérie","012"
"ECU","Ecuador","Équateur","218"
"EGY","Egypt","Égypte","818"
"ERI","Eritrea","Érythrée","232"
"ESH","Western Sahara","Sahara occidental","732"
"ESP","Spain","Espagne","724"
"EST","Estonia","Estonie","233"
"ETH","Ethiopia","Éthiopie","231"
"FIN","Finland","Finlande","246"
"FJI","Fiji","Fidji","242"
"FLK","Falkland Islands (Malvinas)","Îles Falkland (Malvinas)","238"
"FRA","France","France","250"
"FRO","Faeroe Islands","Îles Féroé","234"
"FSM","Micronesia (Federated States of)","Micronésie (États fédérés de)","583"
"GAB","Gabon","Gabon","266"
"GBR","United Kingdom of Great Britain and Northern Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","826"
"GEO","Georgia","Géorgie","268"
"GGY","Guernsey","Guernesey","831"
"GHA","Ghana","Ghana","288"
"GIB","Gibraltar","Gibraltar","292"
"GIN","Guinea","Guinée","324"
"GLP","Guadeloupe","Guadeloupe","312"
"GMB","Gambia","Gambie","270"
"GNB","Guinea-Bissau","Guinée-Bissau","624"
"GNQ","Equatorial Guinea","Guinée équatoriale","226"
"GRC","Greece","Grèce","300"
"GRD","Grenada","Grenade","308"
"GRL","Greenland","Groenland","304"
"GTM","Guatemala","Guatemala","320"
"GUF","French Guiana","Guyane française","254"
"GUM","Guam","Guam","316"
"GUY","Guyana","Guyana","328"
"HKG","China, Hong Kong Special Administrative Region","Chine, région administrative spéciale de Hong Kong","344"
"HND","Honduras","Honduras","340"
"HRV","Croatia","Croatie","191"
"HTI","Haiti","Haïti","332"
"HUN","Hungary","Hongrie","348"
"IDN","Indonesia","Indonésie","360"
"IMN","Isle of Man","Île de Man","833"
"IND","India","Inde","356"
"IRL","Ireland","Irlande","372"
"IRN","Iran (Islamic Republic of)","Iran (République islamique d')","364"
"IRQ","Iraq","Iraq","368"
"ISL","Iceland","Islande","352"
"ISR","Israel","Israël","376"
"ITA","Italy","Italie","380"
"JAM","Jamaica","Jamaïque","388"
"JEY","Jersey","Jersey","832"
"JOR","Jordan","Jordanie","400"
"JPN","Japan","Japon","392"
"KAZ","Kazakhstan","Kazakhstan","398"
"KEN","Kenya","Kenya","404"
"KGZ","Kyrgyzstan","Kirghizistan","417"
"KHM","Cambodia","Cambodge","116"
"KIR","Kiribati","Kiribati","296"
"KNA","Saint Kitts and Nevis","Saint-Kitts-et-Nevis","659"
"KOR","Republic of Korea","République de Corée","410"
"KWT","Kuwait","Koweït","414"
"LAO","Lao People's Democratic Republic","République démocratique populaire lao","418"
"LBN","Lebanon","Liban","422"
"LBR","Liberia","Libéria","430"
"LBY","Libya","Libye","434"
"LCA","Saint Lucia","Sainte-Lucie","662"
"LIE","Liechtenstein","Liechtenstein","438"
"LKA","Sri Lanka","Sri Lanka","144"
"LSO","Lesotho","Lesotho","426"
"LTU","Lithuania","Lituanie","440"
"LUX","Luxembourg","Luxembourg","442"
"LVA","Latvia","Lettonie","428"
"MAC","China, Macao Special Administrative Region","Chine, région administrative spéciale de Macao","446"
"MAF","Saint Martin (French part)","Saint-Martin (partie française)","663"
"MAR","Morocco","Maroc","504"
"MCO","Monaco","Monaco","492"
"MDA","Republic of Moldova","République de Moldova","498"
"MDG","Madagascar","Madagascar","450"
"MDV","Maldives","Maldives","462"
"MEX","Mexico","Mexique","484"
"MHL","Marshall Islands","Îles Marshall","584"
"MKD","The former Yugoslav Republic of Macedonia","Ex-République yougoslave de Macédoine","807"
"MLI","Mali","Mali","466"
"MLT","Malta","Malte","470"
"MMR","Myanmar","Myanmar","104"
"MNE","Montenegro","Monténégro","499"
"MNG","Mongolia","Mongolie","496"
"MNP","Northern Mariana Islands","Îles Mariannes septentrionales","580"
"MOZ","Mozambique","Mozambique","508"
"MRT","Mauritania","Mauritanie","478"
"MSR","Montserrat","Montserrat","500"
"MTQ","Martinique","Martinique","474"
"MUS","Mauritius","Maurice","480"
"MWI","Malawi","Malawi","454"
"MYS","Malaysia","Malaisie","458"
"MYT","Mayotte","Mayotte","175"
"NAM","Namibia","Namibie","516"
"NCL","New Caledonia","Nouvelle-Calédonie","540"
"NER","Niger","Niger","562"
"NFK","Norfolk Island","Île Norfolk","574"
"NGA","Nigeria","Nigéria","566"
"NIC","Nicaragua","Nicaragua","558"
"NIU","Niue","Nioué","570"
"NLD","Netherlands","Pays-Bas","528"
"NOR","Norway","Norvège","578"
"NPL","Nepal","Népal","524"
"NRU","Nauru","Nauru","520"
"NZL","New Zealand","Nouvelle-Zélande","554"
"OMN","Oman","Oman","512"
"PAK","Pakistan","Pakistan","586"
"PAN","Panama","Panama","591"
"PCN","Pitcairn","Pitcairn","612"
"PER","Peru","Pérou","604"
"PHL","Philippines","Philippines","608"
"PLW","Palau","Palaos","585"
"PNG","Papua New Guinea","Papouasie-Nouvelle-Guinée","598"
"POL","Poland","Pologne","616"
"PRI","Puerto Rico","Porto Rico","630"
"PRK","Democratic People's Republic of Korea","République populaire démocratique de Corée","408"
"PRT","Portugal","Portugal","620"
"PRY","Paraguay","Paraguay","600"
"PSE","State of Palestine","État de Palestine","275"
"PYF","French Polynesia","Polynésie française","258"
"QAT","Qatar","Qatar","634"
"REU","R<U+653C><U+3E39>union","Réunion","638"
"ROU","Romania","Roumanie","642"
"RUS","Russian Federation","Fédération de Russie","643"
"RWA","Rwanda","Rwanda","646"
"SAU","Saudi Arabia","Arabie saoudite","682"
"SEN","Senegal","Sénégal","686"
"SGP","Singapore","Singapour","702"
"SHN","Saint Helena","Sainte-Hélène","654"
"SJM","Svalbard and Jan Mayen Islands","Îles Svalbard et Jan Mayen","744"
"SLB","Solomon Islands","Îles Salomon","090"
"SLE","Sierra Leone","Sierra Leone","694"
"SLV","El Salvador","El Salvador","222"
"SMR","San Marino","Saint-Marin","674"
"SOM","Somalia","Somalie","706"
"SPM","Saint Pierre and Miquelon","Saint-Pierre-et-Miquelon","666"
"SRB","Serbia","Serbie","688"
"SSD","South Sudan","Soudan du Sud","728"
"STP","Sao Tome and Principe","Sao Tomé-et-Principe","678"
"SUR","Suriname","Suriname","740"
"SVK","Slovakia","Slovaquie","703"
"SVN","Slovenia","Slovénie","705"
"SWE","Sweden","Suède","752"
"SWZ","Swaziland","Swaziland","748"
"SXM","Sint Maarten (Dutch part)","Saint-Martin (partie néerlandaise)","534"
"SYC","Seychelles","Seychelles","690"
"SYR","Syrian Arab Republic","République arabe syrienne","760"
"TCA","Turks and Caicos Islands","Îles Turques et Caïques","796"
"TCD","Chad","Tchad","148"
"TGO","Togo","Togo","768"
