cou,ind,value,,
GBR,C95,0,,"c(|GBR|,|C95|,0),"
ESP,C95,0,,"c(|ESP|,|C95|,0),"
EST,C95,0,,"c(|EST|,|C95|,0),"
HUN,C95,0,,"c(|HUN|,|C95|,0),"
JPN,C95,0,,"c(|JPN|,|C95|,0),"
KOR,C95,0,,"c(|KOR|,|C95|,0),"
POL,C95,0,,"c(|POL|,|C95|,0),"
SVK,C95,0,,"c(|SVK|,|C95|,0),"
AUS,C95,0,,"c(|AUS|,|C95|,0),"
FRA,C95,0,,"c(|FRA|,|C95|,0),"
ISL,C95,0,,"c(|ISL|,|C95|,0),"
ISR,C95,0,,"c(|ISR|,|C95|,0),"
FRA,C10T14,0,,"c(|FRA|,|C10T14|,0),"
ISL,C10T14,0,,"c(|ISL|,|C10T14|,0),"
ISR,C23,0,,"c(|ISR|,|C23|,0),"
ISR,C30,0,,"c(|ISR|,|C30|,0),"
CAN,C33,0,,"c(|CAN|,|C33|,0),"
IRL,C23,0,,"c(|IRL|,|C23|,0),"
NOR,C23,0,,"c(|NOR|,|C23|,0),"
PRT,C10T14,0,,"c(|PRT|,|C10T14|,0),"
SWE,C73,0,,"c(|SWE|,|C73|,0),"
USA,C73,0,,"c(|USA|,|C73|,0),"
